NYC_Zip_Codes,Avg Income ($)
10001,161227
10002,65718
10003,182531
10004,191760
10005,201734
10006,196771
10007,376573
10009,90253
10010,177950
10011,197050
10012,160244
10013,252811
10014,204690
10016,151829
10017,169169
10018,152396
10019,155567
10021,225235
10022,246355
10023,209783
10024,229685
10025,147611
10026,95709
10027,77728
10028,214695
10029,65837
10030,65589
10031,64971
10032,60656
10033,70967
10034,65924
10035,49300
10036,126679
10037,57342
10038,132658
10039,53689
10040,62568
10044,127178
10069,225828
10128,189877
10162,232459
10280,220261
10282,295980
10301,80710
10302,75367
10303,70898
10304,89869
10305,88147
10306,96994
10307,113591
10308,104614
10309,118300
10310,87497
10312,108766
10314,98727
10451,46052
10452,38756
10453,36529
10454,34310
10455,37891
10456,41156
10457,39774
10458,44615
10459,39033
10460,39791
10461,71591
10462,61943
10463,82103
10464,100244
10465,89748
10466,66344
10467,48581
10468,47257
10469,74763
10470,71731
10471,107457
10472,43326
10473,56150
10474,39015
10475,61030
11004,107832
11101,95879
11102,82508
11103,81512
11104,80386
11105,88855
11106,78578
11109,167536
11201,176189
11203,63181
11204,69520
11205,78983
11206,57980
11207,52124
11208,55108
11209,95195
11210,84919
11211,100706
11212,42285
11213,56798
11214,73599
11215,162894
11216,79825
11217,
11218,87341
11219,56434
11220,61554
11221,66368
11222,95585
11223,71341
11224,53095
11225,74178
11226,66439
11228,89178
11229,79904
11230,73991
11231,145130
11232,72353
11233,55867
11234,99504
11235,74060
11236,78215
11237,67865
11238,107890
11239,36537
11354,63624
11355,55963
11356,76125
11357,100134
11358,
11360,102457
11361,99655
11362,97327
11363,128817
11364,94268
11365,82750
11366,94635
11367,78082
11368,61032
11369,68949
11370,84987
11372,69795
11373,65321
11374,77779
11375,101342
11377,69474
11378,86987
11379,95587
11385,78239
11411,101581
11412,89346
11413,97251
11414,96563
11415,
11416,76532
11417,86034
11418,82300
11419,82122
11420,85258
11421,84642
11422,96500
11423,84986
11426,99999
11427,96719
11428,82700
11429,91927
11432,75650
11433,66108
11434,73933
11435,74494
11436,84711
11691,58683
11692,62707
11693,71165
11694,104387
11697,124884
